Competitor,Country,Date,Discipline,DOB,Perf,Progression,Venue,Wind
Agnes Jebet TIROP,KEN,2021-09-12 00:00:00,10 Kilometres,1995-10-23 00:00:00,30:01 Wo,"",Herzogenaurach (GER),""
Anita WŁODARCZYK,POL,2016-08-28 00:00:00,Hammer Throw,1985-08-08 00:00:00,82.98,"","Stadion PGE Narodowy, Warszawa (POL)",""
Austra SKUJYTĖ,LTU,2005-04-15 00:00:00,Decathlon,1979-08-12 00:00:00,8358,"","Columbia, MO (USA)",""
Barbora ŠPOTÁKOVÁ,CZE,2008-09-13 00:00:00,Javelin Throw,1981-06-30 00:00:00,72.28,"","Gottlieb-Daimler Stadion, Stuttgart (GER)",""
Beatrice CHEPKOECH,KEN,2018-07-20 00:00:00,3000 Metres Steeplechase,1991-07-06 00:00:00,8:44.32,"","Stade Louis II, Monaco (MON)",""
Brigid KOSGEI,KEN,2019-10-13 00:00:00,Marathon,1994-02-20 00:00:00,2:14:04  Mx,"","Chicago, IL (USA)",""
Desiree LINDEN,USA,2021-04-13 00:00:00,50 Kilometres,1983-07-26 00:00:00,2:59:54  Mx,"","Dorena Lake, Oregon (USA)",""
Ejgayehu TAYE,ETH,2021-12-31 00:00:00,5 Kilometres,2000-02-10 00:00:00,14:19  Mx,"",Barcelona (ESP),""
Emane SEIFU,ETH,2023-02-26 00:00:00,50 Kilometres,,3:00:30 Wo  *,"",Gqeberha (RSA),""
Florence GRIFFITH-JOYNER,USA,1988-07-16 00:00:00,100 Metres,1959-12-21 00:00:00,10.49,"","Indianapolis, IN (USA)",0.0
Florence GRIFFITH-JOYNER,USA,1988-09-29 00:00:00,200 Metres,1959-12-21 00:00:00,21.34,"","Olympic Stadium, Jamsil, Seoul (KOR)",'+1.3
Francine NIYONSABA,BDI,2021-09-14 00:00:00,2000 Metres,1993-05-05 00:00:00,5:21.56,"","Sports Park Mladost, Zagreb (CRO)",""
Gabriele REINSCH,GDR,1988-07-09 00:00:00,Discus Throw,1963-09-23 00:00:00,76.80,"",Neubrandenburg (GDR),""
Galina CHISTYAKOVA,URS,1988-06-11 00:00:00,Long Jump,1962-07-26 00:00:00,7.52,"",Leningrad (URS),'+1.4
Genzebe DIBABA,ETH,2015-07-17 00:00:00,1500 Metres,1991-02-08 00:00:00,3:50.07,"","Stade Louis II, Monaco (MON)",""
Hong LIU,CHN,2019-03-09 00:00:00,50 Kilometres Race Walk,1987-05-12 00:00:00,3:59:15,"",Huangshan (CHN),""
Irvette VAN ZYL,RSA,2021-05-23 00:00:00,50 Kilometres,1987-07-05 00:00:00,3:04:24 Wo,"",Port Elizabeth (RSA),""
Jackie JOYNER-KERSEE,USA,1988-09-24 00:00:00,Heptathlon,1962-03-03 00:00:00,7291,"","Olympic Stadium, Jamsil, Seoul (KOR)",""
Jarmila KRATOCHVÍLOVÁ,TCH,1983-07-26 00:00:00,800 Metres,1951-01-26 00:00:00,1:53.28,"",München (GER),""
Jiayu YANG,CHN,2021-03-20 00:00:00,20 Kilometres Race Walk,1996-02-18 00:00:00,1:23:49,"",Huangshan (CHN),""
Junxia WANG,CHN,1993-09-13 00:00:00,3000 Metres,1973-01-09 00:00:00,8:06.11,"",Beijing (CHN),""
Kalkidan GEZAHEGNE,BRN,2021-10-03 00:00:00,10 Kilometres,1991-05-08 00:00:00,29:38  Mx *,"",Genève (SUI),""
Letesenbet GIDEY,ETH,2021-06-08 00:00:00,"10,000 Metres",1998-03-20 00:00:00,29:01.03,"","Blankers-Koen Stadion, Hengelo (NED)",""
Letesenbet GIDEY,ETH,2020-10-07 00:00:00,5000 Metres,1998-03-20 00:00:00,14:06.62,"","Estadio de Atletismo del Turia, Valencia (ESP)",""
Letesenbet GIDEY,ETH,2021-10-24 00:00:00,Half Marathon,1998-03-20 00:00:00,1:02:52  Mx,"",Valencia (ESP),""
Marita KOCH,GDR,1985-10-06 00:00:00,400 Metres,1957-02-18 00:00:00,47.60,"","Bruce Stadium, Canberra (AUS)",""
Mary Jepkosgei KEITANY,KEN,2017-04-23 00:00:00,Marathon,1982-01-18 00:00:00,2:17:01 Wo,"",London (GBR),""
Nadezhda RYASHKINA,URS,1990-07-24 00:00:00,"10,000 Metres Race Walk",1967-01-22 00:00:00,41:56.23,"","Seattle, WA (USA)",""
Natalya LISOVSKAYA,URS,1987-06-07 00:00:00,Shot Put,1962-07-16 00:00:00,22.63,"",Moskva (URS),""
Nike/Bowerman Track Club,USA,2020-07-31 00:00:00,4x1500 Metres Relay,,16:27.02,"","Jesuit High School Track, Portland, OR (USA)",""
Olimpiada IVANOVA,RUS,2001-09-06 00:00:00,"20,000 Metres Race Walk",1970-08-29 00:00:00,1:26:52.3h,"",Brisbane (AUS),""
Peres JEPCHIRCHIR,KEN,2020-10-17 00:00:00,Half Marathon,1993-09-27 00:00:00,1:05:16 Wo,"",Gdynia (POL),""
PR of China,CHN,1998-02-28 00:00:00,Road Relay,,2:11:41,"",Beijing (CHN),""
Senbere TEFERI,ETH,2021-09-12 00:00:00,5 Kilometres,1995-05-03 00:00:00,14:29 Wo,"",Herzogenaurach (GER),""
Sifan HASSAN,NED,2020-09-04 00:00:00,One Hour,1993-01-01 00:00:00,18930,"","Boudewijnstadion, Bruxelles (BEL)",""
Sifan HASSAN,NED,2019-07-12 00:00:00,One Mile,1993-01-01 00:00:00,4:12.33,"","Stade Louis II, Monaco (MON)",""
Soviet Union,URS,1988-10-01 00:00:00,4x400 Metres Relay,,3:15.17,"","Olympic Stadium, Jamsil, Seoul (KOR)",""
Soviet Union,URS,1984-08-05 00:00:00,4x800 Metres Relay,,7:50.17,"",Moskva (URS),""
Stefka KOSTADINOVA,BUL,1987-08-30 00:00:00,High Jump,1965-03-25 00:00:00,2.09,"","Stadio Olimpico, Roma (ITA)",""
Svetlana MASTERKOVA,RUS,1996-08-23 00:00:00,1000 Metres,1968-01-17 00:00:00,2:28.98,"",Bruxelles (BEL),""
Sydney MCLAUGHLIN,USA,2022-07-22 00:00:00,400 Metres Hurdles,1999-08-07 00:00:00,50.68,"","Hayward Field, Eugene, OR (USA)",""
Tobi AMUSAN,NGR,2022-07-24 00:00:00,100 Metres Hurdles,1997-04-23 00:00:00,12.12,"","Hayward Field, Eugene, OR (USA)",'+0.9
Tomoe ABE,JPN,2000-06-25 00:00:00,100 Kilometres,1971-08-13 00:00:00,6:33:11  Mx,"",Lake Saroma (JPN),""
United States,USA,2012-08-10 00:00:00,4x100 Metres Relay,,40.82,"","Olympic Stadium, London (GBR)",""
United States,USA,2022-04-15 00:00:00,Distance Medley Relay,,10:33.85   *(i),"","The Track at New Balance, Boston, MA (USA)",""
United States,USA,2015-05-02 00:00:00,Distance Medley Relay,,10:36.50,"","T. Robinson Stadium, Nassau (BAH)",""
United States Blue,USA,2000-04-29 00:00:00,4x200 Metres Relay,,1:27.46,"","Philadelphia, PA (USA)",""
Yalemzerf YEHUALAW,ETH,2022-02-27 00:00:00,10 Kilometres,1999-08-03 00:00:00,29:14  Mx,"",Castellón (ESP),""
Yelena ISINBAYEVA,RUS,2009-08-28 00:00:00,Pole Vault,1982-06-03 00:00:00,5.06,"","Letzigrund, Zürich (SUI)",""
Yulimar ROJAS,VEN,2022-03-20 00:00:00,Triple Jump,1995-10-21 00:00:00,15.74   (i),"","Štark Arena, Beograd (SRB)",NWI
